review,appName,platform,sentiment,cleaned_reviews,encoded_sentiment,review_length,category
جميل بس ليه فلوس انا ماعندي ,ﺷﺎﻫﺪ Shahid,android,positive,جميل بس ليه فلوس انا ماعندي,1,28,Entertainment
التطبيق السابق افضل,ALKAHRABA,android,negative,التطبيق السابق افضل,0,19,Electricity & Energy
تطبيق لا يستحق ولا نجمه انا عندي واجبات مايطلعه وإذا رحت قوقل القى الواجب بعدين اروح اشوف في التطبيق ما لقى الواجب بعدين اروح احله في قوقل أنصحكم لاتحملونه ولا يستحق ولا نجمه سي جدا,مدرستي,android,negative,تطبيق لا يستحق ولا نجمه انا عندي واجبات مايطلعه واذا رحت قوقل القي الواجب بعدين اروح اشوف في التطبيق ما لقي الواجب بعدين اروح احله في قوقل انصحكم لاتحملونه ولا يستحق ولا نجمه سي جدا,0,181,Education
بعد التحديث الاخير لا أستطيع تسجيل الدخول ارجو حلها على الفور,State of Survival: Zombie War,ios,negative,بعد التحديث الاخير لا استطيع تسجيل الدخول ارجو حلها علي الفور,0,61,Gaming
لعبه جميله جدا,State of Survival: Survive the Zombie Apocalypse,android,positive,لعبه جميله جدا,1,14,Gaming
عندي مشكله اول ما اخش التطبيق يطلعني طوالي,mystc KSA,ios,negative,عندي مشكله اول ما اخش التطبيق يطلعني طوالي,0,42,Other
ما اقدر احكي كم هي رائعه بس فيها واي فاي بس بس مشكلتي كل يلي يلعبوها اجانب. 🧡🤎🤎🤍,Mobile Legends: Bang Bang,android,positive,ما اقدر احكي كم هي رائعه بس فيها واي فاي بس بس مشكلتي كل يلي يلعبوها اجانب,1,79,Gaming
اللعبة جميلة ولكن لايوجد سيرفر شرق اوسط ,Mobile Legends: Bang Bang,android,negative,العبه جميله ولكن لايوجد سيرفر شرق اوسط,0,39,Gaming
للآسف اتعرض لمواقف محرجه في طيلة الانتظار على بوابة الدوائر الحكومية او التجاريه بسبب بط اظهار المعلومات للأسف اقترح من أجل تخفيف الظغط على البرنامج اطلاق ٣ نسخ توكلنا للمواطنين ونسخه للمقيمين ونسخه لزوار والمعتمرين ودول محلس التعاون الخليجي,Tawakkalna Covid 19 KSA,android,negative,لاسف اتعرض لمواقف محرجه في طيله الانتظار علي بوابه الدوائر الحكوميه او التجاريه بسب بط اظهار المعلومات لاسف اقترح من اجل تخفيف الظغط علي البرنامج اطلاق نسخ توكلنا لمواطنين ونسخه لمقيمين ونسخه لزوار والمعتمرين ودول محلس التعاون الخليجي,0,236,Government Services
تطبيق ذكي ومفيد,Pinterest: Lifestyle Ideas,ios,positive,تطبيق ذكي ومفيد,1,15,Photo & Video
ي ولد العبه متنزلت,Call of Duty®: Mobile,android,negative,ي ولد العبه متنزلت,0,18,Gaming
اخرطي ،،،، الناس جيل خامس ، وهذا بالوتوث ، اللهم لك الحمد والشكر .,Tabaud COVID 19 KSA,android,negative,اخرطي ، الناس جيل خامس ، وهذا بالوتوث ، الهم لك الحمد والشكر,0,62,Government Services
صراحة برنامج مميز وخاصة مع السناب والانستغرام صراحة سعرة غالي اتمنى لهم التحديثات ودعم التطبيق,Infltr Infinite Filters,ios,positive,صراحه برنامج ميز وخاصه مع السناب والانستغرام صراحه سعره غالي اتمني لهم التحديثات ودعم التطبيق,1,93,Photo & Video
التطبيق لا يدعم مقاس الايباد,mystc KSA,ios,negative,التطبيق لا يدعم مقاس الايباد,0,28,Other
البرنامج حلوووو واحسن شي النقاط,SayHi Chat Meet New People,ios,positive,البرنامج حلو واحسن شي النقاط,1,28,Social Meeting
هذا تطبيق مميز ورائع,Reporting Trade Violations app,ios,positive,هذا تطبيق ميز ورائع,1,19,Government Services
"الا غصب يبرك تشترك في انغامي بلس 
قبل ٤ سنين كان البرنامج جداً ممتاز و بعدين سار ما تقدر توجع الاغنية اللي قبل لازم تشترك في انغامي بلس و بعدها بفترة ما تقدر لا تدم ولا ترجع الاغنية لازم تشترك و الان البلاي لست حقك ما يشتغل بالترتيب لا يشتغل عشوائي و اغاني من عندهم اذا تبا بالترتيب تبعك لازم تشترك فوق ان اغاني روتانا مسحوبة منهم",Anghami: Play Music & Podcasts,ios,negative,الا غصب يبرك تشترك في انغامي بلس قبل سنين كان البرنامج جدا متاز و بعدين سار ما تقدر توجع الاغنيه الي قبل لازم تشترك في انغامي بلس و بعدها بفتره ما تقدر لا تدم ولا ترجع الاغنيه لازم تشترك و الان البلاي لست حقك ما يشتغل بالترتيب لا يشتغل عشوائي و اغاني من عندهم اذا تبا بالترتيب تبعك لازم تشترك فوق ان اغاني روتانا مسحوبه منهم,0,327,Entertainment
البرنامج فيه خلل  عندي ممكن اصلاحه احمل البرنامج ويطلعني من التطبيق ارجوووو الرد,Infltr Infinite Filters,ios,negative,البرنامج فيه خل عندي مكن اصلاحه احمل البرنامج ويطلعني من التطبيق ارجو الرد,0,74,Photo & Video
يعلق بعض احيانا,Snapchat,android,negative,يعلق بعض احيانا,0,15,Social Media
تحيا فلسطين عربية أبيه,Google Maps Transit & Food,ios,negative,تحيا فلسطين عربيه ابيه,0,22,Utilities
لعبة رائعة جداً,Mafia City,android,positive,لعبه رائعه جدا,1,14,Gaming
تطبيق جداً رائع وعصري كثير من بلدان العالم تفتقد مثل هذه التطبيقات حيث انها تسهل كثيراً من المعاملات الحكومية والإدارية والأمنية شكراً لكل من ساهم في هذا التطبيق,Absher App,ios,positive,تطبيق جدا رائع وعصري كثير من بلدان العالم تفتقد مثل هذه التطبيقات حيث انها تسهل كثيرا من المعاملات الحكوميه والاداريه والامنيه شكرا لكل من ساهم في هذا التطبيق,1,158,Government Services
